group_rank,member_rank,symbol,name,primary_group,secondary_concepts,industry,theme_exposure_grade,fundamental_quality_grade,growth_grade,profitability_grade,cashflow_balance_grade,valuation_grade,risk_flag_grade,risk_flags,liquidity_capacity_grade,pe_ttm,pb,market_cap_wan,turnover_ratio_pct,fundamental_source,independent_signal_family_count,formal_stock_rank,context_rank,lane,shortlist_eligible,same_day_return_pct_diagnostic,amount_yi,member_sort_tuple,final_member_reason,evidence_ids,business_group_raw,market_theme_id,mapping_source_rank,mapping_status
1,21,688158,优刻得,软件/数字内容/计算机应用,,IT服务,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复;CLX独立性不足,good,-543.55,5.76,1417600.0,10.71,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,542,408,technical-reversal-only,False,15.763732129420616,13.344155,6|4|6|6|6|4|3|1|-1|542|688158,暴露=evidence_gap；基本面=weak；估值=weak；容量=good；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,IT服务,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,22,688031,星环科技,软件/数字内容/计算机应用,,软件开发/IT服务,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复,neutral,-50.34,13.58,1095300.0,8.85,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,2,101,108,technical-reversal-only,False,12.560687165442562,9.70883,6|4|6|6|6|4|3|2|-2|101|688031,暴露=evidence_gap；基本面=weak；估值=weak；容量=neutral；映射来源=ths_business_keyword,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,软件开发/IT服务,TH-SOFTWARE,ths_business_keyword,resolved_theme_unmatched
1,23,301218,华是科技,软件/数字内容/计算机应用,,软件开发,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;CLX独立性不足,neutral,-178.393,5.218,473608.12,24.23177,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,366,35,unclassified,False,16.39573991031391,6.840911,6|4|6|6|6|4|3|2|-1|366|301218,暴露=evidence_gap；基本面=weak；估值=weak；容量=neutral；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,软件开发,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,24,688227,品高股份,软件/数字内容/计算机应用,,IT服务,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;CLX独立性不足,neutral,-149.68,6.28,782600.0,5.32,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,553,78,unclassified,False,11.66317147927085,4.210952,6|4|6|6|6|4|3|2|-1|553|688227,暴露=evidence_gap；基本面=weak；估值=weak；容量=neutral；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,IT服务,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,25,301231,荣信文化,软件/数字内容/计算机应用,,其他文化传媒,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复;CLX独立性不足,watch,-73.54,2.74,222900.0,15.46,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,367,274,technical-reversal-only,False,19.99091322126305,2.548107,6|4|6|6|6|4|3|3|-1|367|301231,暴露=evidence_gap；基本面=weak；估值=weak；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,其他文化传媒,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,26,301337,亚华电子,软件/数字内容/计算机应用,,软件开发,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复;CLX独立性不足,watch,-136.38,2.22,240400.0,1.89,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,372,281,technical-reversal-only,False,5.680256527714156,0.440051,6|4|6|6|6|4|3|3|-1|372|301337,暴露=evidence_gap；基本面=weak；估值=weak；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,软件开发,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,27,688225,亚信安全,软件/数字内容/计算机应用,,横向通用软件,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复;CLX独立性不足,watch,-12.06,3.14,488000.0,2.58,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,552,416,technical-reversal-only,False,9.810981098109806,1.238539,6|4|6|6|6|4|3|3|-1|552|688225,暴露=evidence_gap；基本面=weak；估值=weak；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,横向通用软件,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,28,688228,开普云,软件/数字内容/计算机应用,,IT服务,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复;CLX独立性不足,watch,-221.13,3.58,445900.00000000006,5.11,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,554,417,technical-reversal-only,False,10.606568364611269,2.267927,6|4|6|6|6|4|3|3|-1|554|688228,暴露=evidence_gap；基本面=weak；估值=weak；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,IT服务,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,29,688292,浩瀚深度,软件/数字内容/计算机应用,,软件开发,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复;CLX独立性不足,watch,-110.6,2.69,259899.99999999997,3.01,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,563,426,technical-reversal-only,False,7.606557377049183,0.785724,6|4|6|6|6|4|3|3|-1|563|688292,暴露=evidence_gap；基本面=weak；估值=weak；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,软件开发,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
2,1,300251,光线传媒,传媒娱乐,,传媒娱乐,neutral,strong,evidence_gap,evidence_gap,evidence_gap,strong,watch,长期趋势未修复;CLX独立性不足,good,20.93,3.488,3499770.999376,3.23448,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,127,209,technical-reversal-only,False,5.762411347517737,10.573563,2|0|6|6|6|0|3|1|-1|127|300251,暴露=neutral；基本面=strong；估值=strong；容量=good；映射来源=frozen_theme,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,,TH-SOFTWARE,frozen_theme,resolved
2,2,000504,南华生物,传媒娱乐,免疫治疗;文化振兴;信托重仓;重组概念,传媒娱乐,neutral,watch,evidence_gap,evidence_gap,evidence_gap,watch,watch,长期趋势未修复;CLX独立性不足,watch,84.111,9.024,249827.485186,1.63553,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,193,115,technical-reversal-only,False,2.435723951285529,0.404052,2|3|6|6|6|3|3|3|-1|193|000504,暴露=neutral；基本面=watch；估值=watch；容量=watch；映射来源=frozen_theme,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,,TH-SOFTWARE,frozen_theme,resolved
3,1,300566,激智科技,先进光伏电池修复,TOPCon;光伏;光伏概念,,strong,good,evidence_gap,evidence_gap,evidence_gap,strong,neutral,CLX独立性不足,neutral,27.859,2.558,569553.345779,9.39675,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,320,27,unclassified,False,2.1146616541353414,4.80692,0|1|6|6|6|0|2|2|-1|320|300566,暴露=strong；基本面=good；估值=strong；容量=neutral；映射来源=frozen_theme,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,,TH-PV,frozen_theme,resolved
3,2,300757,罗博特科,先进光伏电池修复,BC电池;HIT电池;TOPCon;光伏;光伏概念,,strong,watch,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;CLX独立性不足,strong,-1013.561,42.845,6965122.660716,7.20819,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,338,3,secondary-line,True,16.06848588107144,49.005395,0|3|6|6|6|4|3|0|-1|338|300757,暴露=strong；基本面=watch；估值=weak；容量=strong；映射来源=frozen_theme,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,,TH-PV,frozen_theme,resolved
3,3,600930,华电新能,先进光伏电池修复,,光伏设备/材料,evidence_gap,strong,evidence_gap,evidence_gap,evidence_gap,strong,watch,长期趋势未修复;CLX独立性不足,neutral,27.69,1.62,17728600.0,1.4,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,441,331,technical-reversal-only,False,0.7109004739336511,6.359617,6|0|6|6|6|0|3|2|-1|441|600930,暴露=evidence_gap；基本面=strong；估值=strong；容量=neutral；映射来源=ths_business_keyword,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,光伏设备/材料,TH-PV,ths_business_keyword,resolved_theme_unmatched
3,4,301202,朗威股份,先进光伏电池修复,,光伏设备/材料,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,neutral,watch,长期趋势未修复;CLX独立性不足,watch,65.61,3.55,422000.0,2.43,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,364,271,technical-reversal-only,False,4.31557653405259,0.601635,6|2|6|6|6|2|3|3|-1|364|301202,暴露=evidence_gap；基本面=neutral；估值=neutral；容量=watch；映射来源=ths_business_keyword,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,光伏设备/材料,TH-PV,ths_business_keyword,resolved_theme_unmatched
3,5,603119,浙江荣泰,先进光伏电池修复,,光伏设备/材料,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,watch,watch,长期趋势未修复;CLX独立性不足,neutral,74.45,10.68,2163800.0,6.94,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,478,358,technical-reversal-only,False,7.417840375586837,8.466381,6|2|6|6|6|3|3|2|-1|478|603119,暴露=evidence_gap；基本面=neutral；估值=watch；容量=neutral；映射来源=ths_business_keyword,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,光伏设备/材料,TH-PV,ths_business_keyword,resolved_theme_unmatched
3,6,688783,西安奕材,先进光伏电池修复,,光伏设备/材料,evidence_gap,watch,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;CLX独立性不足,good,-120.333,8.317,10203520.6,16.39299,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,591,95,unclassified,False,3.1849734585545075,11.659136,6|3|6|6|6|4|3|1|-1|591|688783,暴露=evidence_gap；基本面=watch；估值=weak；容量=good；映射来源=ths_business_keyword,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,光伏设备/材料,TH-PV,ths_business_keyword,resolved_theme_unmatched
