scope,model_code,trigger,market_regime,horizon_trading_days,purged_boundary_count,sample_count,win_count,win_rate,win_rate_ci_low,win_rate_ci_high,mean_net_return,median_net_return
HOLDOUT,S0011,STRONG_FRACTAL,UP,30,0,336,127,0.377976,0.327785,0.430926,-0.012851,-0.051518
HOLDOUT,S0011,STRONG_FRACTAL,UP,60,0,336,97,0.28869,0.242841,0.339317,-0.038097,-0.118665
HOLDOUT,S0011,STRONG_FRACTAL,UP,90,0,212,46,0.216981,0.166799,0.277238,-0.104091,-0.202082
HOLDOUT,S0011,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0011,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0011,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0011,STRONG_FRACTAL,SIDEWAYS,30,0,1489,469,0.314976,0.291885,0.339021,-0.045662,-0.084532
HOLDOUT,S0011,STRONG_FRACTAL,SIDEWAYS,60,0,810,308,0.380247,0.347455,0.414169,0.012047,-0.077159
HOLDOUT,S0011,STRONG_FRACTAL,SIDEWAYS,90,0,406,132,0.325123,0.281383,0.372142,-0.003584,-0.159475
HOLDOUT,S0012,ENGULFING,UP,30,0,28,7,0.25,0.126765,0.433557,-0.045913,-0.046688
HOLDOUT,S0012,ENGULFING,UP,60,0,28,8,0.285714,0.15254,0.470593,0.003483,-0.117943
HOLDOUT,S0012,ENGULFING,UP,90,0,21,2,0.095238,0.026519,0.289141,-0.1236,-0.239889
HOLDOUT,S0012,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0012,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0012,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0012,ENGULFING,SIDEWAYS,30,0,115,31,0.269565,0.196888,0.357139,-0.040018,-0.093252
HOLDOUT,S0012,ENGULFING,SIDEWAYS,60,0,62,14,0.225806,0.139552,0.344056,-0.032733,-0.118564
HOLDOUT,S0012,ENGULFING,SIDEWAYS,90,0,35,9,0.257143,0.14163,0.420693,-0.03383,-0.286479
HOLDOUT,S0012,STRONG_FRACTAL,UP,30,0,80,34,0.425,0.322566,0.534307,0.003307,-0.023603
HOLDOUT,S0012,STRONG_FRACTAL,UP,60,0,80,26,0.325,0.232442,0.433595,-0.031732,-0.116611
HOLDOUT,S0012,STRONG_FRACTAL,UP,90,0,49,12,0.244898,0.146023,0.380863,-0.079917,-0.144537
HOLDOUT,S0012,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0012,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0012,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0012,STRONG_FRACTAL,SIDEWAYS,30,0,270,74,0.274074,0.224319,0.330168,-0.060702,-0.092528
HOLDOUT,S0012,STRONG_FRACTAL,SIDEWAYS,60,0,167,62,0.371257,0.301647,0.446658,-0.022314,-0.087263
HOLDOUT,S0012,STRONG_FRACTAL,SIDEWAYS,90,0,94,32,0.340426,0.25259,0.440792,0.009731,-0.168096
HOLDOUT,S0013,ENGULFING,UP,30,0,1,1,1.0,0.206549,1.0,0.018121,0.018121
HOLDOUT,S0013,ENGULFING,UP,60,0,1,1,1.0,0.206549,1.0,0.008907,0.008907
HOLDOUT,S0013,ENGULFING,UP,90,0,1,1,1.0,0.206549,1.0,0.023073,0.023073
HOLDOUT,S0013,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0013,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0013,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0013,ENGULFING,SIDEWAYS,30,0,9,1,0.111111,0.019891,0.435,-0.123532,-0.139376
HOLDOUT,S0013,ENGULFING,SIDEWAYS,60,0,5,1,0.2,0.036224,0.624465,-0.068514,-0.111251
HOLDOUT,S0013,ENGULFING,SIDEWAYS,90,0,4,1,0.25,0.045587,0.699358,-0.171564,-0.262022
HOLDOUT,S0013,STRONG_FRACTAL,UP,30,0,3,1,0.333333,0.061492,0.79234,-0.035252,-0.033703
