symbol,name,primary_group,secondary_groups,industry_source,concept_source,mapping_confidence,mapping_reason,excluded_noise_tags,evidence_ids,business_group_raw,market_theme_id,market_lane,business_industry_fallback,mapping_source_rank,mapping_source_detail,mapping_asof,mapping_attempts,mapping_status
600362,江西铜业,有色金属,含H股;稀缺资源;业绩预降;资产注入;整体上市,有色金属,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,融资融券,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600497,驰宏锌锗,有色金属,稀缺资源;资产注入,有色金属,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,融资融券,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600566,济川药业,生物制药,节能环保,生物制药,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600673,东阳光,有色金属,光伏概念;资产注入,有色金属,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600851,海欣股份,纺织行业,参股金融;创新药;含B股;金融参股;金融改革;抗癌;免疫治疗;上海本地;生物疫苗,纺织行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600901,江苏金租,租赁,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,租赁,,unclassified,租赁,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
600909,华安证券,证券,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,证券,,unclassified,证券,cninfo_industry,申银万国行业分类标准(旧)|2016-11-15,2016-11-15,cninfo:ok,resolved_theme_unmatched
600998,九州通,商业百货,民营银行;民营医院;武汉规划,商业百货,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600999,招商证券,金融行业,含H股;前海概念;央企50,金融行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,融资融券,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
601100,恒立液压,机械行业,,机械行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
