segment_id,regime,start_date,end_date,sessions,start_close,end_close,segment_return
DOWN-0098,DOWN,2018-10-17,2018-11-07,16,2561.61,2641.34,0.031125
SIDEWAYS-0099,SIDEWAYS,2018-11-08,2018-11-28,15,2635.63,2601.74,-0.012858
DOWN-0100,DOWN,2018-11-29,2018-12-06,6,2567.44,2605.18,0.014699
SIDEWAYS-0101,SIDEWAYS,2018-12-07,2018-12-24,12,2605.89,2527.01,-0.03027
DOWN-0102,DOWN,2018-12-25,2019-01-10,11,2504.82,2535.1,0.012089
SIDEWAYS-0103,SIDEWAYS,2019-01-11,2019-02-27,29,2553.83,2953.82,0.156624
UP-0104,UP,2019-02-28,2019-05-09,47,2940.95,2850.95,-0.030602
SIDEWAYS-0105,SIDEWAYS,2019-05-10,2019-07-11,44,2939.21,2917.76,-0.007298
DOWN-0106,DOWN,2019-07-12,2019-07-30,13,2930.55,2952.34,0.007435
SIDEWAYS-0107,SIDEWAYS,2019-07-31,2020-03-20,155,2932.51,2745.62,-0.06373
DOWN-0108,DOWN,2020-03-23,2020-05-06,29,2660.17,2878.14,0.081938
SIDEWAYS-0109,SIDEWAYS,2020-05-07,2020-06-19,32,2871.52,2967.63,0.03347
UP-0110,UP,2020-06-22,2020-09-14,59,2965.27,3278.81,0.105737
SIDEWAYS-0111,SIDEWAYS,2020-09-15,2020-12-30,71,3295.68,3414.45,0.036038
UP-0112,UP,2020-12-31,2021-03-03,39,3473.07,3576.9,0.029896
SIDEWAYS-0113,SIDEWAYS,2021-03-04,2022-03-10,248,3503.49,3296.09,-0.059198
DOWN-0114,DOWN,2022-03-11,2022-06-06,56,3309.75,3236.37,-0.022171
SIDEWAYS-0115,SIDEWAYS,2022-06-07,2022-07-25,35,3241.76,3250.39,0.002662
UP-0116,UP,2022-07-26,2022-08-05,9,3277.44,3227.03,-0.015381
SIDEWAYS-0117,SIDEWAYS,2022-08-08,2022-09-21,32,3236.93,3117.18,-0.036995
DOWN-0118,DOWN,2022-09-22,2022-11-29,44,3108.91,3149.75,0.013136
SIDEWAYS-0119,SIDEWAYS,2022-11-30,2023-01-18,35,3151.34,3224.41,0.023187
UP-0120,UP,2023-01-19,2023-03-10,32,3240.28,3230.08,-0.003148
SIDEWAYS-0121,SIDEWAYS,2023-03-13,2023-03-27,11,3268.7,3251.4,-0.005293
UP-0122,UP,2023-03-28,2023-04-24,19,3245.38,3275.41,0.009253
SIDEWAYS-0123,SIDEWAYS,2023-04-25,2023-10-24,120,3264.87,2962.24,-0.092693
DOWN-0124,DOWN,2023-10-25,2023-11-16,17,2974.11,3050.93,0.02583
SIDEWAYS-0125,SIDEWAYS,2023-11-17,2023-12-18,22,3054.37,2930.8,-0.040457
DOWN-0126,DOWN,2023-12-19,2024-01-03,11,2932.39,2967.25,0.011888
SIDEWAYS-0127,SIDEWAYS,2024-01-04,2024-01-10,5,2954.35,2877.7,-0.025945
DOWN-0128,DOWN,2024-01-11,2024-01-17,5,2886.65,2833.62,-0.018371
SIDEWAYS-0129,SIDEWAYS,2024-01-18,2024-02-02,12,2845.78,2730.15,-0.040632
DOWN-0130,DOWN,2024-02-05,2024-02-22,8,2702.19,2988.36,0.105903
SIDEWAYS-0131,SIDEWAYS,2024-02-23,2024-04-22,40,3004.88,3044.6,0.013218
UP-0132,UP,2024-04-23,2024-06-04,28,3021.98,3091.2,0.022906
SIDEWAYS-0133,SIDEWAYS,2024-06-05,2024-07-30,39,3065.4,2879.3,-0.06071
DOWN-0134,DOWN,2024-07-31,2024-10-10,45,2938.75,3301.93,0.123583
UP-0135,UP,2024-10-11,2025-01-03,60,3217.74,3211.43,-0.001961
SIDEWAYS-0136,SIDEWAYS,2025-01-06,2025-07-09,122,3206.92,3493.05,0.089223
UP-0137,UP,2025-07-10,2025-11-25,93,3509.68,3870.02,0.10267
SIDEWAYS-0138,SIDEWAYS,2025-11-26,2026-01-12,32,3864.18,4165.29,0.077923
UP-0139,UP,2026-01-13,2026-01-21,7,4138.76,4116.94,-0.005272
SIDEWAYS-0140,SIDEWAYS,2026-01-22,2026-03-02,22,4122.58,4182.59,0.014556
UP-0141,UP,2026-03-03,2026-03-18,12,4122.68,4062.98,-0.014481
SIDEWAYS-0142,SIDEWAYS,2026-03-19,2026-07-24,87,4006.55,3814.198,-0.048009
